Description	Resource	Path	Location	Type
Project 'demos' is missing required library: 'C:\Maven\repository\bouncycastle\bcprov-jdk14\136\bcprov-jdk14-136.jar'	demos		Build path	Build Path Problem
Project 'demos' is missing required library: 'C:\Maven\repository\com\lowagie\itext\2.1.0\itext-2.1.0.jar'	demos		Build path	Build Path Problem
Project 'demos' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	demos		Build path	Build Path Problem
Project 'examples' is missing required library: 'C:\Maven\repository\bouncycastle\bcmail-jdk14\136\bcmail-jdk14-136.jar'	examples		Build path	Build Path Problem
Project 'examples' is missing required library: 'C:\Maven\repository\bouncycastle\bcprov-jdk14\136\bcprov-jdk14-136.jar'	examples		Build path	Build Path Problem
Project 'examples' is missing required library: 'C:\Maven\repository\com\lowagie\itext\2.1.0\itext-2.1.0.jar'	examples		Build path	Build Path Problem
Project 'examples' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	examples		Build path	Build Path Problem
Project 'faces' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	faces		Build path	Build Path Problem
Project 'FaceTools' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	FaceTools		Build path	Build Path Problem
Project 'FaceTracker' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	FaceTracker		Build path	Build Path Problem
Project 'FeatureVisualisation' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	FeatureVisualisation		Build path	Build Path Problem
Project 'geocoder' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	geocoder		Build path	Build Path Problem
Project 'GlobalFeaturesTool' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	GlobalFeaturesTool		Build path	Build Path Problem
Project 'gstreamer-video' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	gstreamer-video		Build path	Build Path Problem
Project 'HadoopClusterQuantiserTool' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	HadoopClusterQuantiserTool		Build path	Build Path Problem
Project 'HadoopDownloader' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	HadoopDownloader		Build path	Build Path Problem
Project 'HadoopEXIFTool' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	HadoopEXIFTool		Build path	Build Path Problem
Project 'HadoopFastKMeans' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	HadoopFastKMeans		Build path	Build Path Problem
Project 'HadoopGlobalFeaturesTool' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	HadoopGlobalFeaturesTool		Build path	Build Path Problem
Project 'HadoopImageIndexer' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	HadoopImageIndexer		Build path	Build Path Problem
Project 'HadoopLocalFeaturesTool' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	HadoopLocalFeaturesTool		Build path	Build Path Problem
Project 'HadoopTwitterPreprocessingTool' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	HadoopTwitterPreprocessingTool		Build path	Build Path Problem
Project 'HadoopTwitterTokenTool' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	HadoopTwitterTokenTool		Build path	Build Path Problem
Project 'image-annotation' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	image-annotation		Build path	Build Path Problem
Project 'image-feature-extraction' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	image-feature-extraction		Build path	Build Path Problem
Project 'image-indexing-retrieval' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	image-indexing-retrieval		Build path	Build Path Problem
Project 'image-local-features' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	image-local-features		Build path	Build Path Problem
Project 'image-processing' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	image-processing		Build path	Build Path Problem
Project 'ImageCollectionTool' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	ImageCollectionTool		Build path	Build Path Problem
Project 'ImprovedArgs4J' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	ImprovedArgs4J		Build path	Build Path Problem
Project 'kinect' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	kinect		Build path	Build Path Problem
Project 'klt-tracker' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	klt-tracker		Build path	Build Path Problem
Project 'LocalFeaturesTool' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	LocalFeaturesTool		Build path	Build Path Problem
Project 'machine-learning' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	machine-learning		Build path	Build Path Problem
Project 'multiview' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	multiview		Build path	Build Path Problem
Project 'nearest-neighbour' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	nearest-neighbour		Build path	Build Path Problem
Project 'nlp' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	nlp		Build path	Build Path Problem
Project 'object-detection' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	object-detection		Build path	Build Path Problem
Project 'OCRTools' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	OCRTools		Build path	Build Path Problem
Project 'picslurper' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	picslurper		Build path	Build Path Problem
Project 'processing' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	processing		Build path	Build Path Problem
Project 'processing' is missing required library: 'C:\PROJECTS-GITHUB\openimaj\openimaj\thirdparty\processing-core\lib\core.jar'	processing		Build path	Build Path Problem
Project 'processing' is missing required library: 'C:\PROJECTS-GITHUB\openimaj\openimaj\thirdparty\processing-core\lib\video.jar'	processing		Build path	Build Path Problem
Project 'RedditHarvester' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	RedditHarvester		Build path	Build Path Problem
Project 'ReferencesTool' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	ReferencesTool		Build path	Build Path Problem
Project 'sandbox' is missing required library: 'C:\Maven\repository\bouncycastle\bcmail-jdk14\136\bcmail-jdk14-136.jar'	sandbox		Build path	Build Path Problem
Project 'sandbox' is missing required library: 'C:\Maven\repository\bouncycastle\bcprov-jdk14\136\bcprov-jdk14-136.jar'	sandbox		Build path	Build Path Problem
Project 'sandbox' is missing required library: 'C:\Maven\repository\com\lowagie\itext\2.1.0\itext-2.1.0.jar'	sandbox		Build path	Build Path Problem
Project 'sandbox' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	sandbox		Build path	Build Path Problem
Project 'SequenceFileIndexer' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	SequenceFileIndexer		Build path	Build Path Problem
Project 'SequenceFileMerger' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	SequenceFileMerger		Build path	Build Path Problem
Project 'SequenceFileTool' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	SequenceFileTool		Build path	Build Path Problem
Project 'SimilarityMatrixTool' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	SimilarityMatrixTool		Build path	Build Path Problem
Project 'SimpleMosaic' is missing required library: 'C:\Maven\repository\bouncycastle\bcmail-jdk14\136\bcmail-jdk14-136.jar'	SimpleMosaic		Build path	Build Path Problem
Project 'SimpleMosaic' is missing required library: 'C:\Maven\repository\bouncycastle\bcprov-jdk14\136\bcprov-jdk14-136.jar'	SimpleMosaic		Build path	Build Path Problem
Project 'SimpleMosaic' is missing required library: 'C:\Maven\repository\com\lowagie\itext\2.1.0\itext-2.1.0.jar'	SimpleMosaic		Build path	Build Path Problem
Project 'SimpleMosaic' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	SimpleMosaic		Build path	Build Path Problem
Project 'SimpleOCR' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	SimpleOCR		Build path	Build Path Problem
Project 'sioc' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	sioc		Build path	Build Path Problem
Project 'slideshow' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	slideshow		Build path	Build Path Problem
Project 'StormTwitterPreprocessingTool' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	StormTwitterPreprocessingTool		Build path	Build Path Problem
Project 'tld' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	tld		Build path	Build Path Problem
Project 'touchtable' is missing required library: 'C:\Maven\repository\bouncycastle\bcmail-jdk14\136\bcmail-jdk14-136.jar'	touchtable		Build path	Build Path Problem
Project 'touchtable' is missing required library: 'C:\Maven\repository\bouncycastle\bcprov-jdk14\136\bcprov-jdk14-136.jar'	touchtable		Build path	Build Path Problem
Project 'touchtable' is missing required library: 'C:\Maven\repository\com\lowagie\itext\2.1.0\itext-2.1.0.jar'	touchtable		Build path	Build Path Problem
Project 'touchtable' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	touchtable		Build path	Build Path Problem
Project 'tutorial-code' is missing required library: 'C:\Maven\repository\concurrent\concurrent\1.3.4\concurrent-1.3.4.jar'	tutorial-code		Build path	Build Path Problem
